Database,Credit,Table,IFCGLs
IFCCode,SysAccountName,AccountAlias,Id
271,INTEREST3,###**34620?000000000,0
271,INTEREST4,###**34620?000000000,0
271,PAID_INTEREST_S,###**62230?000000000,0
281,INTEREST0,###**34620?000000000,0
281,PAID_INTEREST0,###**62230?000000000,0
281,INTEREST1,###**34620?000000000,0
281,PAID_INTEREST1,###**62230?000000000,0
281,INTEREST2,###**34620?000000000,0
281,PAID_INTEREST2,###**62230?000000000,0
281,INTEREST3,###**34620?000000000,0
281,INTEREST4,###**34620?000000000,0
281,PAID_INTEREST_S,###**62230?000000000,0
291,INTEREST0,###**34620?000000000,0
291,PAID_INTEREST0,###**62230?000000000,0
291,INTEREST1,###**34620?000000000,0
291,PAID_INTEREST1,###**62230?000000000,0
291,INTEREST2,###**34620?000000000,0
291,PAID_INTEREST2,###**62230?000000000,0
291,INTEREST3,###**34620?000000000,0
291,INTEREST4,###**34620?000000000,0
291,PAID_INTEREST_S,###**62230?000000000,0
301,INTEREST0,###**34620?000000000,0
301,PAID_INTEREST0,###**62230?000000000,0
301,INTEREST1,###**34620?000000000,0
301,PAID_INTEREST1,###**62230?000000000,0
301,INTEREST2,###**34620?000000000,0
301,PAID_INTEREST2,###**62230?000000000,0
301,INTEREST3,###**34620?000000000,0
301,INTEREST4,###**34620?000000000,0
301,PAID_INTEREST_S,###**62230?000000000,0
302,INTEREST0,###**34620?000000000,0
302,PAID_INTEREST0,###**62230?000000000,0
302,INTEREST1,###**34620?000000000,0
302,PAID_INTEREST1,###**62230?000000000,0
302,INTEREST2,###**34620?000000000,0
302,PAID_INTEREST2,###**62230?000000000,0
302,INTEREST3,###**34620?000000000,0
302,INTEREST4,###**34620?000000000,0
302,PAID_INTEREST_S,###**62230?000000000,0
311,INTEREST0,###**34620?000000000,0
311,PAID_INTEREST0,###**62230?000000000,0
311,INTEREST1,###**34620?000000000,0
311,PAID_INTEREST1,###**62230?000000000,0
311,INTEREST2,###**34620?000000000,0
311,PAID_INTEREST2,###**62230?000000000,0
311,INTEREST3,###**34620?000000000,0
311,INTEREST4,###**34620?000000000,0
311,PAID_INTEREST_S,###**62230?000000000,0
312,INTEREST0,###**34620?000000000,0
312,PAID_INTEREST0,###**62230?000000000,0
312,INTEREST1,###**34620?000000000,0
312,PAID_INTEREST1,###**62230?000000000,0
312,INTEREST2,###**34620?000000000,0
312,PAID_INTEREST2,###**62230?000000000,0
312,INTEREST3,###**34620?000000000,0
312,INTEREST4,###**34620?000000000,0
312,PAID_INTEREST_S,###**62230?000000000,0
315,INTEREST0,###**34620?000000000,0
315,PAID_INTEREST0,###**62230?000000000,0
315,INTEREST1,###**34620?000000000,0
315,PAID_INTEREST1,###**62230?000000000,0
315,INTEREST2,###**34620?000000000,0
315,PAID_INTEREST2,###**62230?000000000,0
315,INTEREST3,###**34620?000000000,0
315,INTEREST4,###**34620?000000000,0
315,PAID_INTEREST_S,###**62230?000000000,0
