Database,Credit,Table,CreditCatalogGLs
"CatalogCode","SysAccountName","COAAccount","AccountAlias","Id"
"NR10MMK013","CREDIT4","","###4050402010005**","305"
"NR10MMK013","PROV_CR_RVS0","","###4050803010001**","306"
"NR10MMK013","PROV_CR_RVS1","","###4050803010002**","307"
"NR10MMK013","PROV_CR_RVS2","","###4050803010003**","308"
"NR10MMK013","PROV_CR_RVS3","","###4050801010004**","309"
"NR10MMK013","PROV_CR_RVS4","","###4050801010005**","310"
"NR10MMK013","PROV_CR0","","###4050803010001**","311"
"NR10MMK013","PROV_CR1","","###4050803010002**","312"
"NR10MMK013","PROV_CR2","","###4050803010003**","313"
"NR10MMK013","PROV_CR3","","###4050801010004**","314"
"NR10MMK013","PROV_CR4","","###4050801010005**","315"
"NR10MMK013","PROV_DR_RVS0","","###2050101000001**","316"
"NR10MMK013","PROV_DR_RVS1","","###2050201000001**","317"
"NR10MMK013","PROV_DR_RVS2","","###2050201000002**","318"
"NR10MMK013","PROV_DR_RVS3","","###2050201000003**","319"
"NR10MMK013","PROV_DR_RVS4","","###2050201000004**","320"
"NR10MMK013","PROV_DR0","","###2050101000001**","321"
"NR10MMK013","PROV_DR1","","###2050201000001**","322"
"NR10MMK013","PROV_DR2","","###2050201000002**","323"
"NR10MMK013","PROV_DR3","","###2050201000003**","324"
"NR10MMK013","PROV_DR4","","###2050201000004**","325"
"HPA2MMK014","CREDIT0","","###4050402010001**","326"
"HPA2MMK014","CREDIT1","","###4050402010002**","327"
"HPA2MMK014","CREDIT2","","###4050402010003**","328"
"HPA2MMK014","CREDIT3","","###4050402010004**","329"
"HPA2MMK014","CREDIT4","","###4050402010005**","330"
"HPA2MMK014","PROV_CR_RVS0","","###4050803010001**","331"
"HPA2MMK014","PROV_CR_RVS1","","###4050803010002**","332"
"HPA2MMK014","PROV_CR_RVS2","","###4050803010003**","333"
"HPA2MMK014","PROV_CR_RVS3","","###4050801010004**","334"
"HPA2MMK014","PROV_CR_RVS4","","###4050801010005**","335"
"HPA2MMK014","PROV_CR0","","###4050803010001**","336"
"HPA2MMK014","PROV_CR1","","###4050803010002**","337"
"HPA2MMK014","PROV_CR2","","###4050803010003**","338"
"HPA2MMK014","PROV_CR3","","###4050801010004**","339"
"HPA2MMK014","PROV_CR4","","###4050801010005**","340"
"HPA2MMK014","PROV_DR_RVS0","","###2050101000001**","341"
"HPA2MMK014","PROV_DR_RVS1","","###2050201000001**","342"
"HPA2MMK014","PROV_DR_RVS2","","###2050201000002**","343"
"HPA2MMK014","PROV_DR_RVS3","","###2050201000003**","344"
"HPA2MMK014","PROV_DR_RVS4","","###2050201000004**","345"
"HPA2MMK014","PROV_DR0","","###2050101000001**","346"
"HPA2MMK014","PROV_DR1","","###2050201000001**","347"
"HPA2MMK014","PROV_DR2","","###2050201000002**","348"
"HPA2MMK014","PROV_DR3","","###2050201000003**","349"
"HPA2MMK014","PROV_DR4","","###2050201000004**","350"
"HPA5MMK015","CREDIT0","","###4050402010001**","351"
"HPA5MMK015","CREDIT1","","###4050402010002**","352"
"HPA5MMK015","CREDIT2","","###4050402010003**","353"
"HPA5MMK015","CREDIT3","","###4050402010004**","354"
"HPA5MMK015","CREDIT4","","###4050402010005**","355"
"HPA5MMK015","PROV_CR_RVS0","","###4050803010001**","356"
"HPA5MMK015","PROV_CR_RVS1","","###4050803010002**","357"
"HPA5MMK015","PROV_CR_RVS2","","###4050803010003**","358"
"HPA5MMK015","PROV_CR_RVS3","","###4050801010004**","359"
"HPA5MMK015","PROV_CR_RVS4","","###4050801010005**","360"
"HPA5MMK015","PROV_CR0","","###4050803010001**","361"
"HPA5MMK015","PROV_CR1","","###4050803010002**","362"
"HPA5MMK015","PROV_CR2","","###4050803010003**","363"
"HPA5MMK015","PROV_CR3","","###4050801010004**","364"
"HPA5MMK015","PROV_CR4","","###4050801010005**","365"
"HPA5MMK015","PROV_DR_RVS0","","###2050101000001**","366"
"HPA5MMK015","PROV_DR_RVS1","","###2050201000001**","367"
"HPA5MMK015","PROV_DR_RVS2","","###2050201000002**","368"
"HPA5MMK015","PROV_DR_RVS3","","###2050201000003**","369"
"HPA5MMK015","PROV_DR_RVS4","","###2050201000004**","370"
"HPA5MMK015","PROV_DR0","","###2050101000001**","371"
"HPA5MMK015","PROV_DR1","","###2050201000001**","372"
"HPA5MMK015","PROV_DR2","","###2050201000002**","373"
"HPA5MMK015","PROV_DR3","","###2050201000003**","374"
"HPA5MMK015","PROV_DR4","","###2050201000004**","375"
"CHL1MMK017","PROV_CR_RVS0","","###4050803010001**","401"
"CHL1MMK017","PROV_CR_RVS1","","###4050803010002**","402"
"CHL1MMK017","PROV_CR_RVS2","","###4050803010003**","403"
"CHL1MMK017","PROV_CR_RVS3","","###4050801010004**","404"
"CHL1MMK017","PROV_CR_RVS4","","###4050801010005**","405"
"CHL1MMK017","PROV_DR0","","###2050101000001**","406"
"CHL1MMK017","PROV_DR1","","###2050201000001**","407"
"CHL1MMK017","PROV_DR2","","###2050201000002**","408"
"CHL1MMK017","PROV_DR3","","###2050201000003**","409"
"CHL1MMK017","PROV_DR4","","###2050201000004**","410"
"CHL1MMK017","PROV_CR0","","###4050803010001**","411"
"CHL1MMK017","PROV_CR1","","###4050803010002**","412"
"CHL1MMK017","PROV_CR2","","###4050803010003**","413"
"CHL1MMK017","PROV_CR3","","###4050801010004**","414"
