Database,Accounting,Table,AccountChart,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,ParentAccountId,AccountLevel,IsAccountLeave,BalanceSide,ReverseBalance,PostingSide,AccountName,ShortAccountName,MultiValueName,AccountClassification,AccountCategories,AccountGroup,DirectPosting,IsVisible,IsMultiCurrency,JobProcessOption,RefAccountNumber,ReferencesNumber,CreatedOnUtc,UpdatedOnUtc,Id
1030101,AAA,002,,4,FALSE,D,N,A,Loans to Domestic Financial Institutions,Loans to Domestic Financial Institutions,,A,M,N,Y,N,Y,N,,,,,0
1030102,AAA,002,,4,FALSE,D,N,A,Loans to NFIs and Other Clients (Corporate),Loans to NFIs and Other Clients (Corporate),,A,M,N,Y,N,Y,N,,,,,0
1030103,AAA,002,,4,FALSE,D,N,A,Loans to NFIs and Other Clients (Individual),Loans to NFIs and Other Clients (Individual),,A,M,N,Y,N,Y,N,,,,,0
1030301,AAA,002,,4,FALSE,D,N,A,Overdraft to NFIs and Other Clients (Corporate),Overdraft to NFIs and Other Clients (Corporate),,A,M,N,Y,N,Y,N,,,,,0
1030302,AAA,002,,4,FALSE,D,N,A,Overdraft to NFIs and Other Clients (Individual),Overdraft to NFIs and Other Clients (Individual),,A,M,N,Y,N,Y,N,,,,,0
1030401,AAA,002,,4,FALSE,D,N,A,Overdraft to Term Loans - NFIs and Other Clients (Corporate),Overdraft to Term Loans - NFIs and Other Clients (Corporate),,A,M,N,Y,N,Y,N,,,,,0
1030402,AAA,002,,4,FALSE,D,N,A,Overdraft to Term Loans - NFIs and Other Clients (Individual),Overdraft to Term Loans - NFIs and Other Clients (Individual),,A,M,N,Y,N,Y,N,,,,,0
1040101,AAA,002,,4,FALSE,D,N,A,Treasury Bills,Treasury Bills,,A,M,N,Y,N,Y,N,,,,,0
1040102,AAA,002,,4,FALSE,D,N,A,Treasury Bonds,Treasury Bonds,,A,M,N,Y,N,Y,N,,,,,0
1040201,AAA,002,,4,FALSE,D,N,A,Equity Investment - Normal,Equity Investment - Normal,,A,M,N,Y,N,Y,N,,,,,0
1100101,AAA,002,,4,FALSE,D,N,A,Other Assets - Restricted Cash (Other claims on CBM),Other Assets - Restricted Cash (Other claims on CBM),,A,M,N,Y,N,Y,N,,,,,0
1100201,AAA,002,,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable (Deposits placed at other banks),Other Assets - Accrued Interest Receivable (Deposits placed at other banks),,A,M,N,Y,N,Y,N,,,,,0
1100202,AAA,002,,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable (Loans),Other Assets - Accrued Interest Receivable (Loans),,A,M,N,Y,N,Y,N,,,,,0
